DOSAGEFORMNAME	MEDFORMTYPE
AEROSOL	SPRAY
"AEROSOL, FOAM"	SPRAY
"AEROSOL, METERED"	SPRAY
"AEROSOL, POWDER"	SPRAY
"AEROSOL, SPRAY"	SPRAY
"BAR, CHEWABLE"	OTHER
BEAD	OTHER
"BEAD, IMPLANT, EXTENDED RELEASE"	OTHER
CAPSULE	CAPSULE
"CAPSULE, COATED"	CAPSULE
"CAPSULE, COATED PELLETS"	CAPSULE
"CAPSULE, COATED, EXTENDED RELEASE"	CAPSULE
"CAPSULE, DELAYED RELEASE"	CAPSULE
"CAPSULE, DELAYED RELEASE PELLETS"	CAPSULE
"CAPSULE, EXTENDED RELEASE"	CAPSULE
"CAPSULE, GELATIN COATED"	CAPSULE
"CAPSULE, LIQUID FILLED"	CAPSULE
CELLULAR SHEET	OTHER
CIGARETTE	OTHER
CLOTH	CLOTH/PATCH
CONCENTRATE	LIQUID
CREAM	CREAM/LOTION/OINTMENT
"CREAM, AUGMENTED"	CREAM/LOTION/OINTMENT
CRYSTAL	OTHER
DISC	DRESSING
DOUCHE	LIQUID
DRESSING	DRESSING
ELIXIR	LIQUID
EMULSION	LIQUID
ENEMA	LIQUID
EXTRACT	LIQUID
FILM	FILM
"FILM, EXTENDED RELEASE"	FILM
"FILM, SOLUBLE"	FILM
FOR SOLUTION	LIQUID
FOR SUSPENSION	LIQUID
"FOR SUSPENSION, EXTENDED RELEASE"	LIQUID
GAS	GAS
GEL	GEL
"GEL, DENTIFRICE"	GEL
"GEL, METERED"	GEL
GLOBULE	OTHER
GRANULE	GRANULE
"GRANULE, DELAYED RELEASE"	GRANULE
"GRANULE, EFFERVESCENT"	GRANULE
"GRANULE, FOR SOLUTION"	GRANULE
"GRANULE, FOR SUSPENSION"	GRANULE
"GRANULE, FOR SUSPENSION, EXTENDED RELEASE"	GRANULE
"GUM, CHEWING"	GUM
GUM	GUM
IMPLANT	IMPLANT
INHALANT	INHALANT
"INJECTABLE, LIPOSOMAL"	INJECTION
INJECTION	INJECTION
"INJECTION, EMULSION"	INJECTION
"INJECTION, LIPID COMPLEX"	INJECTION
"INJECTION, POWDER, FOR SOLUTION"	INJECTION
"INJECTION, POWDER, FOR SUSPENSION"	INJECTION
"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	INJECTION
"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION"	INJECTION
"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION, EXTENDED RELEASE"	INJECTION
"INJECTION, SOLUTION"	INJECTION
"INJECTION, SOLUTION, CONCENTRATE"	INJECTION
"INJECTION, SUSPENSION"	INJECTION
"INJECTION, SUSPENSION, LIPOSOMAL"	INJECTION
"INJECTION, SUSPENSION, EXTENDED RELEASE"	INJECTION
"INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE"	INJECTION
"INJECTION, POWDER, LYOPHILIZED, FOR LIPOSOMAL SUSPENSION"	INJECTION
INSERT	OTHER
"INSERT, EXTENDED RELEASE"	OTHER
INTRAUTERINE DEVICE	IMPLANT
IRRIGANT	IRRIGANT
JELLY	GEL
KIT	OTHER
LINIMENT	CREAM/LOTION/OINTMENT
LIPSTICK	STICK
LIQUID	LIQUID
"LIQUID, EXTENDED RELEASE"	LIQUID
LOTION	CREAM/LOTION/OINTMENT
"LOTION, AUGMENTED"	CREAM/LOTION/OINTMENT
LOTION/SHAMPOO	CREAM/LOTION/OINTMENT
LOZENGE	LOZENGE
TROCHE	LOZENGE
MOUTHWASH	LIQUID
OIL	LIQUID
OINTMENT	CREAM/LOTION/OINTMENT
"OINTMENT, AUGMENTED"	CREAM/LOTION/OINTMENT
PASTE	PASTE
"PASTE, DENTIFRICE"	PASTE
PASTILLE	TABLET
PATCH	CLOTH/PATCH
"PATCH, EXTENDED RELEASE"	CLOTH/PATCH
"PATCH, EXTENDED RELEASE, ELECTRICALLY CONTROLLED"	CLOTH/PATCH
PELLET	TABLET
"PELLETS, COATED, EXTENDED RELEASE"	TABLET
PILL	TABLET
PLASTER	OTHER
POULTICE	OTHER
POWDER	POWDER
"POWDER, DENTIFRICE"	POWDER
"POWDER, FOR SOLUTION"	POWDER
"POWDER, FOR SUSPENSION"	POWDER
"POWDER, METERED"	POWDER
"POWDER, FOR RECONSTITUTION"	POWDER
RING	OTHER
UNASSIGNED	OTHER
RINSE	LIQUID
SALVE	CREAM/LOTION/OINTMENT
SHAMPOO	SHAMPOO/SOAP
"SHAMPOO, SUSPENSION"	SHAMPOO/SOAP
SOAP	SHAMPOO/SOAP
SOLUTION	SOLUTION
"SOLUTION, CONCENTRATE"	SOLUTION
"SOLUTION, FOR SLUSH"	SOLUTION
"SOLUTION, GEL FORMING / DROPS"	SOLUTION
"SOLUTION, GEL FORMING, EXTENDED RELEASE"	SOLUTION
SOLUTION/ DROPS	DROPS
SOLUTION/DROPS	DROPS
SPONGE	OTHER
SPRAY	SPRAY
"SPRAY, METERED"	SPRAY
"SPRAY, SUSPENSION"	SPRAY
STICK	STICK
STRIP	OTHER
"NOT APPLICABLE"	OTHER
SUPPOSITORY	SUPPOSITORY
SUSPENSION	SOLUTION
"SUSPENSION, EXTENDED RELEASE"	SOLUTION
SUSPENSION/ DROPS	DROPS
SUSPENSION/DROPS	DROPS
SWAB	SWAB
SYRUP	LIQUID
TABLET	TABLET
"TABLET, CHEWABLE"	TABLET
"TABLET, COATED"	TABLET
"TABLET, DELAYED RELEASE"	TABLET
"TABLET, DELAYED RELEASE PARTICLES"	TABLET
"TABLET, EFFERVESCENT"	TABLET
"TABLET, EXTENDED RELEASE"	TABLET
"TABLET, FILM COATED"	TABLET
"TABLET, FILM COATED, EXTENDED RELEASE"	TABLET
"TABLET, FOR SUSPENSION"	TABLET
"TABLET, MULTILAYER"	TABLET
"TABLET, MULTILAYER, EXTENDED RELEASE"	TABLET
"TABLET, ORALLY DISINTEGRATING"	TABLET
"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE"	TABLET
"TABLET, SOLUBLE"	TABLET
"TABLET, SUGAR COATED"	TABLET
"TABLET, COATED PARTICLES"	TABLET
TAPE	OTHER
TINCTURE	LIQUID
WAFER	OTHER
